image_name,class
Tr-glTr_0000.jpg,glioma
Tr-glTr_0001.jpg,glioma
Tr-glTr_0002.jpg,glioma
Tr-glTr_0003.jpg,glioma
Tr-glTr_0004.jpg,glioma
Tr-glTr_0005.jpg,glioma
Tr-glTr_0006.jpg,glioma
Tr-glTr_0007.jpg,glioma
Tr-glTr_0008.jpg,glioma
Tr-glTr_0009.jpg,glioma
Tr-gl_0010.jpg,glioma
Tr-gl_0011.jpg,glioma
Tr-gl_0012.jpg,glioma
Tr-gl_0013.jpg,glioma
Tr-gl_0014.jpg,glioma
Tr-gl_0015.jpg,glioma
Tr-gl_0016.jpg,glioma
Tr-gl_0017.jpg,glioma
Tr-gl_0018.jpg,glioma
Tr-gl_0019.jpg,glioma
Tr-gl_0020.jpg,glioma
Tr-gl_0021.jpg,glioma
Tr-gl_0022.jpg,glioma
Tr-gl_0023.jpg,glioma
Tr-gl_0024.jpg,glioma
Tr-gl_0025.jpg,glioma
Tr-gl_0026.jpg,glioma
Tr-gl_0027.jpg,glioma
Tr-gl_0028.jpg,glioma
Tr-gl_0029.jpg,glioma
Tr-gl_0030.jpg,glioma
Tr-gl_0031.jpg,glioma
Tr-gl_0032.jpg,glioma
Tr-gl_0033.jpg,glioma
Tr-gl_0034.jpg,glioma
Tr-gl_0035.jpg,glioma
Tr-gl_0036.jpg,glioma
Tr-gl_0037.jpg,glioma
Tr-gl_0038.jpg,glioma
Tr-gl_0039.jpg,glioma
Tr-gl_0040.jpg,glioma
Tr-gl_0041.jpg,glioma
Tr-gl_0042.jpg,glioma
Tr-gl_0043.jpg,glioma
Tr-gl_0044.jpg,glioma
Tr-gl_0045.jpg,glioma
Tr-gl_0046.jpg,glioma
Tr-gl_0047.jpg,glioma
Tr-gl_0048.jpg,glioma
Tr-gl_0049.jpg,glioma
Tr-gl_0050.jpg,glioma
Tr-gl_0051.jpg,glioma
Tr-gl_0052.jpg,glioma
Tr-gl_0053.jpg,glioma
Tr-gl_0054.jpg,glioma
Tr-gl_0055.jpg,glioma
Tr-gl_0056.jpg,glioma
Tr-gl_0057.jpg,glioma
Tr-gl_0058.jpg,glioma
Tr-gl_0059.jpg,glioma
Tr-gl_0060.jpg,glioma
Tr-gl_0061.jpg,glioma
Tr-gl_0062.jpg,glioma
Tr-gl_0063.jpg,glioma
Tr-gl_0064.jpg,glioma
Tr-gl_0065.jpg,glioma
Tr-gl_0066.jpg,glioma
Tr-gl_0067.jpg,glioma
Tr-gl_0068.jpg,glioma
Tr-gl_0069.jpg,glioma
Tr-gl_0070.jpg,glioma
Tr-gl_0071.jpg,glioma
Tr-gl_0072.jpg,glioma
Tr-gl_0073.jpg,glioma
Tr-gl_0074.jpg,glioma
Tr-gl_0075.jpg,glioma
Tr-gl_0076.jpg,glioma
Tr-gl_0077.jpg,glioma
Tr-gl_0078.jpg,glioma
Tr-gl_0079.jpg,glioma
Tr-gl_0080.jpg,glioma
Tr-gl_0081.jpg,glioma
Tr-gl_0082.jpg,glioma
Tr-gl_0083.jpg,glioma
Tr-gl_0084.jpg,glioma
Tr-gl_0085.jpg,glioma
Tr-gl_0086.jpg,glioma
Tr-gl_0087.jpg,glioma
Tr-gl_0088.jpg,glioma
Tr-gl_0089.jpg,glioma
Tr-gl_0090.jpg,glioma
Tr-gl_0091.jpg,glioma
Tr-gl_0092.jpg,glioma
Tr-gl_0093.jpg,glioma
Tr-gl_0094.jpg,glioma
Tr-gl_0095.jpg,glioma
Tr-gl_0096.jpg,glioma
Tr-gl_0097.jpg,glioma
Tr-gl_0098.jpg,glioma
Tr-gl_0099.jpg,glioma
Tr-gl_0100.jpg,glioma
Tr-gl_0101.jpg,glioma
Tr-gl_0102.jpg,glioma
Tr-gl_0103.jpg,glioma
Tr-gl_0104.jpg,glioma
Tr-gl_0105.jpg,glioma
Tr-gl_0106.jpg,glioma
Tr-gl_0107.jpg,glioma
Tr-gl_0108.jpg,glioma
Tr-gl_0109.jpg,glioma
Tr-gl_0110.jpg,glioma
Tr-gl_0111.jpg,glioma
Tr-gl_0112.jpg,glioma
Tr-gl_0113.jpg,glioma
Tr-gl_0114.jpg,glioma
Tr-gl_0115.jpg,glioma
Tr-gl_0116.jpg,glioma
Tr-gl_0117.jpg,glioma
Tr-gl_0118.jpg,glioma
Tr-gl_0119.jpg,glioma
Tr-gl_0120.jpg,glioma
Tr-gl_0121.jpg,glioma
Tr-gl_0122.jpg,glioma
Tr-gl_0123.jpg,glioma
Tr-gl_0124.jpg,glioma
Tr-gl_0125.jpg,glioma
Tr-gl_0126.jpg,glioma
Tr-gl_0127.jpg,glioma
Tr-gl_0128.jpg,glioma
Tr-gl_0129.jpg,glioma
Tr-gl_0130.jpg,glioma
Tr-gl_0131.jpg,glioma
Tr-gl_0132.jpg,glioma
Tr-gl_0133.jpg,glioma
Tr-gl_0134.jpg,glioma
Tr-gl_0135.jpg,glioma
Tr-gl_0136.jpg,glioma
Tr-gl_0137.jpg,glioma
Tr-gl_0138.jpg,glioma
Tr-gl_0139.jpg,glioma
Tr-gl_0140.jpg,glioma
Tr-gl_0141.jpg,glioma
Tr-gl_0142.jpg,glioma
Tr-gl_0143.jpg,glioma
Tr-gl_0144.jpg,glioma
Tr-gl_0145.jpg,glioma
Tr-gl_0146.jpg,glioma
Tr-gl_0147.jpg,glioma
Tr-gl_0148.jpg,glioma
Tr-gl_0149.jpg,glioma
Tr-gl_0150.jpg,glioma
Tr-gl_0151.jpg,glioma
Tr-gl_0152.jpg,glioma
Tr-gl_0153.jpg,glioma
Tr-gl_0154.jpg,glioma
Tr-gl_0155.jpg,glioma
Tr-gl_0156.jpg,glioma
